ACCESSION: ......
RECORD_TITLE: 4853-27,229-1540,776-161,15
CH$NAME: 4853-27,229-1540,776-161,15
CH$INCHIKEY: JUQGWBAOQUBVFP-UHFFFAOYNA-N
CH$SMILES: CC(C)C(C1)C(C=2)C(=CCC(C)2)C(C)C1
CH$FORMULA: C15H24
AC$CHROMATOGRAPHY: RETENTION_TIME 27,229
AC$CHROMATOGRAPHY: RETENTION_INDEX 1540,776
MS$FOCUSED_ION: SCAN_NUMBER 4853
MS$FOCUSED_ION: QUANT_M/Z 161,15
PK$NUM_PEAK: 378
PK$PEAK: m/z int. rel.int.
416,20001 2 0,019
417,20001 2 0,015
419,20001 11 0,101
422,20001 23 0,205
423,20001 19 0,171
424,20001 1 0,005
427,20001 1 0,006
428,20001 13 0,114
433,20001 12 0,108
434,20001 2 0,019
435,20001 12 0,111
438,20001 15 0,136
439,20001 1 0,008
441,20001 20 0,174
442,20001 14 0,12
443,20001 15 0,137
444,20001 12 0,106
445,20001 17 0,147
446,20001 26 0,227
450,20001 26 0,227
451,20001 32 0,281
452,20001 31 0,275
453,20001 18 0,163
454,20001 1 0,013
456,20001 5 0,041
458,20001 6 0,057
459,20001 4 0,031
461,20001 12 0,111
462,20001 18 0,161
463,20001 4 0,039
464,20001 19 0,171
465,20001 5 0,044
466,20001 27 0,239
470,20001 7 0,062
471,20001 16 0,141
474,20001 16 0,142
475,20001 4 0,036
476,20001 14 0,12
477,20001 15 0,13
478,20001 15 0,133
479,20001 26 0,23
480,20001 16 0,145
481,20001 18 0,164
485,20001 10 0,085
486,20001 4 0,036
488,20001 15 0,132
489,20001 14 0,128
492,20001 0 0,001
496,20001 36 0,318
497,20001 9 0,078
498,20001 16 0,145
500,20001 14 0,123
501,20001 8 0,071
502,20001 1 0,006
503,20001 12 0,104
504,20001 1 0,006
506,20001 1 0,008
509,20001 4 0,038
510,20001 8 0,067
511,20001 0 0,002
513,20001 7 0,064
514,20001 17 0,15
517,20001 16 0,138
518,20001 3 0,027
521,20001 13 0,119
522,20001 10 0,085
523,20001 17 0,153
524,20001 3 0,029
525,20001 21 0,183
527,20001 0 0,004
